deviceName,node,productId,uptime,match
vpn-nvl-triara-35,node0_1_CPU0,A9K-RSP440-SE,2:5:2:0,NA
vpn-nvl-triara-35,node0_0_CPU0,A9K-RSP440-SE,2:5:2:0,NA
vpn-nvl-triara-35,node0_RSP1_CPU0,A9K-RSP440-SE,2:5:2:0,NA
vpn-nvl-triara-35,node0_RSP0_CPU0,A9K-RSP440-SE,2:5:2:0,NA
sec-tam-anaya-14,node0_RP0_CPU0,CPAK-100G-LR4,2:4:3:6,NA
vpn-mex-nextengo-95,node0_RSP0_CPU0,SFP-10G-LR-S,2:4:3:3,NA
sec-mch-uruapan-17,node0_2_CPU0,14X10GBE-WL-XFP,2:4:2:6,NA
sec-mch-uruapan-21,node0_2_CPU0,14X10GBE-WL-XFP,2:4:2:6,NA
sec-bcn-bahiaensenad-4,node0_SM2_SP,4X100GE-LO,2:4:1:6,NA
sec-bcn-bahiaensenad-4,node0_SM1_SP,4X100GE-LO,2:4:1:6,NA
sec-bcn-bahiaensenad-4,node0_SM0_SP,4X100GE-LO,2:4:1:6,NA
sec-bcn-bahiaensenad-4,node0_SM3_SP,4X100GE-LO,2:4:1:6,NA
